               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  78,            0.040915,            0.022523,           0.0016882,             0.75335,             0.71134,             0.72179,             0.42178,            0.047228,            0.012615,           0.0013681,           0.0040445,           0.0040445,           0.0040445
                  79,            0.042133,            0.022394,           0.0031647,             0.75625,             0.73381,             0.72697,             0.41512,            0.048774,             0.01273,           0.0013301,           0.0039672,           0.0039672,           0.0039672
                  80,            0.038073,            0.021819,           0.0019624,               0.789,             0.74328,             0.72151,             0.41069,             0.04943,            0.012825,           0.0013126,           0.0038898,           0.0038898,           0.0038898
                  81,            0.043796,            0.022617,           0.0025418,             0.78245,             0.71303,             0.68811,             0.40239,            0.050221,            0.012558,           0.0013146,           0.0038125,           0.0038125,           0.0038125
                  82,             0.03801,            0.021219,           0.0011303,             0.79049,             0.73883,             0.74074,             0.42747,            0.047792,            0.012705,           0.0012923,           0.0037352,           0.0037352,           0.0037352
                  83,            0.040455,            0.020977,           0.0018794,             0.77673,             0.75403,              0.7786,             0.41031,            0.049129,            0.013199,           0.0011682,           0.0036578,           0.0036578,           0.0036578
                  84,            0.036194,            0.021117,           0.0017346,             0.80968,             0.78917,              0.7951,             0.42519,             0.04639,            0.012552,           0.0011729,           0.0035805,           0.0035805,           0.0035805
                  85,             0.03637,            0.019713,           0.0016362,             0.78673,             0.75392,             0.76645,             0.41866,            0.049435,            0.013315,           0.0011141,           0.0035031,           0.0035031,           0.0035031
                  86,            0.036764,            0.023013,           0.0018656,             0.81587,             0.77624,             0.78553,             0.42767,            0.046666,            0.013172,           0.0011251,           0.0034258,           0.0034258,           0.0034258
                  87,            0.042408,            0.018869,           0.0016959,             0.79888,             0.74362,             0.73161,             0.41825,            0.048193,            0.013288,           0.0011843,           0.0033484,           0.0033484,           0.0033484
                  88,            0.036294,            0.019846,           0.0015677,             0.80685,             0.77554,             0.76976,             0.43422,            0.046722,            0.013058,           0.0011762,           0.0032711,           0.0032711,           0.0032711
                  89,            0.034475,            0.020219,           0.0017927,              0.7766,             0.75216,             0.73762,             0.40198,            0.048298,            0.013212,           0.0010852,           0.0031938,           0.0031938,           0.0031938
                  90,            0.035376,            0.019251,           0.0028103,             0.83702,             0.80456,             0.78532,             0.42532,            0.046017,            0.013027,           0.0010636,           0.0031164,           0.0031164,           0.0031164
                  91,            0.033702,            0.024036,            0.001756,             0.78434,             0.77587,             0.74635,             0.40994,            0.047762,            0.013702,           0.0010574,           0.0030391,           0.0030391,           0.0030391
